sport,name,hometown,highschool
2024 Football,Ethan Wilson,"Coral Springs, Fla. ", Coral Springs Charter
2024 Football,Justin Pelic,"Mount Pleasant, S.C. ", Wando
2024 Football,Gannon Burt,"Fort Mill, S.C. ", Fort Mill
2024 Football,Quincy Ivory,"Alief, Texas ", Legacy
2024 Football,George Gumbs Jr.,"Chicago, Ill. ", Simeon
2024 Football,Jack Muse,"Hingham, Mass. ", Hingham
2024 Football,Jake Xeller,"Reston, Virginia ", Herndon
2024 Football,Bryce Lovett,"Rockledge, Fla. ", Rockledge
2024 Football,Mike Williams,"Upper Marlboro, Md. ", Charles Herbert Flowers
2024 Football,Christian Williams,"Missouri City, Texas ", Fort Bend Marshall
2024 Football,Devon Manuel,"Sunset, La. ", Beau Chene
2024 Football,Austin Barber,"Jacksonville, Fla. ", Trinity Christian Academy
2024 Football,Andre Morris,"Tampa, Fla. ", Jesuit
2024 Football,Hayden Clem,"Maitland, Fla. ", Winter Park
2024 Football,Chase Stevens,"Vero Beach, Fla. ", Vero Beach
2024 Football,Nicolas Flynn,"Lake Forest, Ill. ", Lake Forest
2024 Football,Caden Jones,"New Orleans, La. ", De La Salle
2024 Football,Riley Simonds,"Buford, Ga. ", Buford
2024 Football,Brandon  Crenshaw-Dickson,"Inglewood, Calif. ", Narbonne
2024 Football,Jake Slaughter,"Sparr, Fla. ", Trinity Catholic
2024 Football,Fletcher Westphal,"Leesburg, Va. ", Tuscarora
2024 Football,Damieon George Jr. ,"Houston, Texas ", North Shore
2024 Football,Roderick  Kearney,"Jacksonville, Fla. ", Orange Park
2024 Football,Bryan Rosenberg,"Gainesville, Fla. ", Buchholz
2024 Football,Mark  Pitts,"Gainesville, Fla. ", Buchholz
2024 Football,Noel  Portnjagin,"Karlsruhe, Germany ", PPI Recruits
2024 Football,Kamryn Waites,"Dallas, Texas ", Universal Academy
2024 Football,Knijeah Harris,"Port St. Lucie, Fla. ", IMG Academy
2024 Football,Zak Sedaros,"Melbourne, Fla. ", Viera
2024 Football,Jackson Wade,"Dallas, Ga. ", North Paulding
2024 Football,Brian Green Jr.,"Jacksonville, Fla. ", Orange Park
2024 Football,Scott Isacks,"New Orleans, La. ", Metairie Park
2024 Football,Tony Livingston,"Tampa, Fla. ", King
2024 Football,Gavin Hill,"Gainesville, Fla. ", Buchholz
2024 Football,Caleb Banks,"Detroit, Mich. ", Southfield A&T
2024 Football,Marcus Burke,"Jacksonville, Fla. ", Trinity Christian Academy
2024 Football,Hayden Hansen,"Weatherford, Texas ", Weatherford
2024 Football,Connor Homa,"Palm Harbor, Fla. ", Palm Harbor University
2024 Football,Tyreik Norwood,"Winchester, Tenn. ", Franklin County
2024 Football,Sebastian Scott,"West Palm Beach, Fla. ", Cardinal Newman
2024 Football,Michai  Boireau,"Atlanta, Ga. ", Creekside
2024 Football,Tyreak Sapp,"Fort Lauderdale, Fla. ", St. Thomas Aquinas
2024 Football,Jamari Lyons,"Cocoa, Fla. ", Viera
2024 Football,Joey  Slackman,"Commack, N.Y. ", Commack
2024 Football,Cam Jackson,"Haynesville, La ", Haynesville
2024 Baseball ,Dale Thomas,"De Leon Springs, Fla. ", Bishop Moore (Coastal Carolina)
2024 Baseball ,Ty Evans,"Auburndale, Fla. ", Lakeland Christian
2024 Baseball ,Cade Fisher,"Dalton, Ga. ", Northwest Whitfield County
2024 Baseball ,Cade Kurland,"Tampa, Fla. ", Berkeley Prep
2024 Baseball ,Sammy Mummau,"Palm Harbor, Fla. ", Dunedin
2024 Baseball ,Tyler Shelnut,"Lake City, Fla. ", Fort White (Santa Fe CC)
2024 Baseball ,Christian Rodriguez,"Coral Springs, Fla. ", Marjory Stoneman Douglas
2024 Baseball ,Luke McNeillie,"Milton, Ga. ", Milton
2024 Baseball ,Colby Shelton,"Lexington, S.C. ", Bloomingdale (Alabama)
2024 Baseball ,Michael Robertson,"Venice, Fla. ", Venice
2024 Baseball ,Liam Peterson,"Palm Harbor, Fla. ", Calvary Christian
2024 Baseball ,Ryan Slater,"Palm Harbor, Fla. ", East Lake
2024 Baseball ,Jac Caglianone,"Tampa, Fla. ", Plant
2024 Baseball ,Landon Russell,"Phenix City, Ala. ", Russell County (Gulf Coast CC)
2024 Baseball ,Hayden Yost,"Tampa, Fla. ", Sickles
2024 Baseball ,Jacob Gomberg,"Coral Springs, Fla. ", Marjory Stoneman Douglas
2024 Baseball ,Pierce Coppola,"Verona, N.J. ", Verona
2024 Baseball ,Jake Clemente,"Coral Springs, Fla. ", Marjory Stoneman Douglas
2024 Baseball ,Caden McDonald,"Tampa, Fla. ", Sickles
2024 Baseball ,Brandon Neely,"Seville, Fla. ", Spruce Creek
2024 Baseball ,John Martinez,"Orlando, Fla. ", Montverde Academy
2024 Baseball ,Blake Brookins,"Palmetto Bay, Fla. ", Miami Palmetto
2024 Baseball ,Reilly Witmer,"Naples, Fla. ", Naples
2024 Baseball ,Tanner Garrison,"Dallas, Tex. ", Cardinal Newman (Coastal Carolina)
2024 Baseball ,Fisher Jameson,"Lake Worth, Fla. ", Park Vista
2024 Baseball ,Luke Heyman,"Longwood, Fla. ", Lake Brantley
2024 Baseball ,Brody Donay,"Lakeland, Fla. ", Lakeland Christian (Virginia Tech)
2024 Baseball ,Ashton Wilson,"Orlando, Fla. ", TNXL Academy (Charleston Southern)
2024 Baseball ,Frank Menendez,"Miami, Fla. ", Doral Academy Charter
2024 Baseball ,Grayson Smith,"Rocky Face, Ga. ", McCallie School
2024 Baseball ,Robert Satin,"Tampa, Fla. ", Plant
2024 Baseball ,Alex Philpott,"Tampa, Fla. ", Strawberry Crest
2024 Baseball ,Blake Purnell,"Boynton Beach, Fla. ", St. Thomas Aquinas
2024 Baseball ,Armando Albert,"Plantation, Fla. ", Belen Jesuit (Santa Fe CC 
2024 Baseball ,Hunter Jones,"Anthony, Fla. ", North Marion
2024 Baseball ,Jaylen Guy,"Greensboro, N.C. ", Southeast Guilford (Liberty)
2023-24 Men's Basketball ,Zyon Pullin,"Pleasant Hill, Calif.",College Park HS
2023-24 Men's Basketball ,Walter Clayton Jr.,"Lake Wales, Fla.",Bartow
2023-24 Men's Basketball ,Riley Kugel,"Orlando, Fla.",Dr. Phillips
2023-24 Men's Basketball ,Micah Handlogten,"Lake Norman, N.C.",Southlake Christian Academy
2023-24 Men's Basketball ,Tyrese Samuel,"Montreal, Quebec, Canada",Orangeville Prep (Ontario)
2023-24 Men's Basketball ,Will Richard,"Fairburn, Ga.",Woodward Academy
2023-24 Men's Basketball ,Thomas Haugh,"New Oxford, Pa.",Perkiomen School
2023-24 Men's Basketball ,Denzel Aberdeen,"Orlando, Fla.",Dr. Phillips
2023-24 Men's Basketball ,Alex Klatsky,"Colts Neck, N.J.",Ranney School
2023-24 Men's Basketball ,Aleks Szymczyk,"Frankfurt, Germany",Gymnasium München-Nord-IBAM
2023-24 Men's Basketball ,Jack May,"Boca Raton, Fla.",Saint Andrew's School
2023-24 Men's Basketball ,Alex Condon,"Perth, Australia",BA Centre of Excellence-NBA Global Academy
2023-24 Men's Basketball ,Bennett Andersen,"Tampa, Fla.",Jesuit HS
2023-24 Men's Basketball ,Julian Rishwain,"Los Angeles, Calif.",Notre Dame HS
2023-24 Men's Basketball ,Kajus Kublickas,"Kaunas, Lithuania",Zalgiris II
2023-24 Men's Basketball ,Cooper Josefsberg,"Miami, Fla.",Riviera Prep
2023-24 Women's Basketball ,Aliyah Matharu,"Washington, D.C.",Bishop McNamara HS
2023-24 Women's Basketball ,Zippy Broughton,"Wetumpka, Alabama",Robert E. Lee
2023-24 Women's Basketball ,Alberte Rimdal,"Koge, Denmark",Marselisborg Gymnasium
2023-24 Women's Basketball ,Kenza Salgues,"Montpellier, France","National Institute of Sport, Expertise, and Performance"
2023-24 Women's Basketball ,Alexia Dizeko,"Sion, Switzerland",not listed
2023-24 Women's Basketball ,Laila Reynolds,"PG County, Maryland",Shabach Christian Academy
2023-24 Women's Basketball ,Jeriah Warren,"Lake Charles, Louisiana",LaGrange
2023-24 Women's Basketball ,Eriny Kindred,"Del Valle, Texas",Del Valle High School
2023-24 Women's Basketball ,Paige Clausen,"Naples, Fla.",Barron Collier HS
2023-24 Women's Basketball ,Leilani  Correa,"Manchester, N.J.",Manchester Township
2023-24 Women's Basketball ,Ra Shaya Kyle,"Marion, Ind.",Marion HS
2023-24 Women's Basketball ,Faith Dut,"Vancouver, British Columbia",Semiamhoo Secondary School
2023-24 Men's Golf ,Parker Bell,"Tallahassee, Fla.",Lawton Chiles High School
2023-24 Men's Golf ,Toby Bishop,"Wales, United Kingdom",Dubai English Speaking College
2023-24 Men's Golf ,Quentin Debove,"Paris, France",Lycée George-Sand
2023-24 Men's Golf ,John DuBois,"Windermere, Fla.",The First Academy
2023-24 Men's Golf ,Ian  Gilligan,"Reno, N.V.",Galena High School
2023-24 Men's Golf ,Ryan Hart,"Buffalo, N.Y.",Gulf Coast High School
2023-24 Men's Golf ,Matthew Kress,"Saratoga, Calif.",Bellarmine College Prep
2023-24 Men's Golf ,Miguel Leal,"Guatemala City, Guatemala",Advantages School International
2023-24 Men's Golf ,Joe Pagdin,"Sheffield, England",Lake Nona High School
2023-24 Men's Golf ,Luke Poulter,"Orlando, Fla.",Circle Christian 
2023-24 Men's Golf ,Rylan Shim,"Centreville, Virginia",Westfield High School
2023-24 Men's Golf ,Jack  Turner,"Orlando, Fla.",Montverde Academy
2023-24 Men's Golf ,Tyler Wilkes,"Tampa, Fla.",Gaither High School
2023-24 Women's Golf ,Inès Archer,"Rennes, France ",not listed
2023-24 Women's Golf ,Marina Escobar,"Almeria, Spain",IES Ortega y Gasset
2023-24 Women's Golf ,Maisie Filler,"Palm Beach Gardens, Fla. ",Oxbridge Academy
2023-24 Women's Golf ,Paula   Francisco,"Madrid, Spain ",IES Oretga and Gasset
2023-24 Women's Golf ,Addison Klonowski,"Naples, Fla.",Naples
2023-24 Women's Golf ,Jackie Lucena,"Chico, Calif. ",Pleasant Valley
2023-24 Women's Golf ,Sarunchana  Rattanasin,"Bangkok, Thailand",St. Francis Xavier School
2023-24 Women's Golf ,Taylor  Roberts ,"Parkland, Fla.",Parkland
2023-24 Women's Golf ,Sophie Stevens,"Highland, Mich.",Homeschool
2023-24 Women's Golf ,Karoline  Tuttle,"Lake Mary, Fla.",Lake Mary 
2024 Gymnastics ,Alyssa Arana,"Miami, Fla. ",Leyva Gymnastics Academy
2024 Gymnastics ,Sloane Blakely,"Frisco, Texas",WOGA
2024 Gymnastics ,Kaylee Bluffstone,"Lutz, Fla.",LaFleur’s Tampa
2024 Gymnastics ,Lori Brubach,"Apopka, Fla.",RAD Gymnastics
2024 Gymnastics ,Chloi Clark,"Denver, Colo.",Colorado Gymnastics Institute
2024 Gymnastics ,Gabby Disidore,"Overland Park, Kansas",GAGE
2024 Gymnastics ,Skylar Draser,"South Huntington, N.Y.",Parkettes
2024 Gymnastics ,Bri Edwards,"Navarre, Fla.",Gulf Coast Gymnastics
2024 Gymnastics ,Danie Ferris,"Palm Coast, Fla.",Florida Elite
2024 Gymnastics ,Morgan Hurd,"Middletown, Del.",First State Gymnastics
2024 Gymnastics ,Ellie Lazzari,"Wheaton, Ill.",Legacy Elite Gymnastics
2024 Gymnastics ,Michala Magee,"Orlando, Fla.",Orlando Metro
2024 Gymnastics ,Riley McCusker,"Bradenton, Fla.",Brian Carey
2024 Gymnastics ,Victoria Nguyen,"Houston, Texas",Chow’s Gymnastics
2024 Gymnastics ,Anya  Pilgrim,"Germantown, Md.",Hill’s Gymnastics
2024 Gymnastics ,Payton Richards,"Mokena, Ill.",Aerials Gymnastics Club
2024 Gymnastics ,Leanne Wong,"Overland Park, Kan.",GAGE
2024 Lacrosse ,Cate Isaacson,"Worthington, Ohio ",Thomas Worthington  
2024 Lacrosse ,Emma Panciocco,"Riverhead, N.Y.",Riverhead
2024 Lacrosse ,Madison Waters,"Bayport, N.Y.",Bayport Blue Point
2024 Lacrosse ,Makena Harrington,"Powell, Ohio ",Olentangy Liberty High School 
2024 Lacrosse ,Brie Catts,"Milton, Ga.",Milton
2024 Lacrosse ,Kaitlyn Davies,"Wayne, N.J.",Wayne Hills HS
2024 Lacrosse ,Liz Harrison,"Lake Worth, Fla.",American Heritage Boca/Delray
2024 Lacrosse ,Keira Rooney,"Bayport, N.Y. ",Bayport Bluepoint 
2024 Lacrosse ,Delaney Radin,"Long Beach, N.Y. ",Long Beach High School 
2024 Lacrosse ,Emily Heller,"Babylon, N.Y.",West Babylon
2024 Lacrosse ,Danielle Pavinelli,"Northport, N.Y.",Northport
2024 Lacrosse ,Sydney Wilson,"Villanova, Pa.",Agnes Irwin School
2024 Lacrosse ,Macy Zaban,"Northfield, Ill.",New Trier
2024 Lacrosse ,Maria Pansini,"Villanova, Pa. ",The Agnes Irwin School 
2024 Lacrosse ,Hannah Heller,"Babylon, N.Y.",West Babylon 
2024 Lacrosse ,Josie Hahn,"Catonsville, Md.",St. Paul’s School for Girls
2024 Lacrosse ,Frannie Hahn,"Catonsville, Md. ",St. Paul’s School for Girls 
2024 Lacrosse ,Catherine  Flaherty,"Manorville, N.Y.",Eastport South Manor
2024 Lacrosse ,Sam Hughes,"Castle Rock, Colo. ",Castle View High School 
2024 Lacrosse ,Maggi Hall,"Bel Air, Md.",Bel Air
2024 Lacrosse ,Celeste Forte,"Manorville, N.Y.",Eastport South Manor
2024 Lacrosse ,Ashley Gonzalez,"Dix Hills, N.Y.",Half Hollow Hills High School East
2024 Lacrosse ,Gabbi Koury,"Birchrunville, Pa. ",Owen J. Roberts 
2024 Lacrosse ,Theresa Bragg,"Severna Park, Md.",Severna Park HS
2024 Lacrosse ,Ashley Dyer,"Elkridge, Md",Glenelg Country School  
2024 Lacrosse ,Gianna Monaco,"Mount Laurel, N.J.",Lenape
2024 Lacrosse ,Jenny Woodings,"Pittsburgh, Pa.",Shady Side Academy
2024 Lacrosse ,Lara Kology,"Chatham, N.J.",Chatham HS
2024 Lacrosse ,Carly Wilson,"Villanova, Pa.",Agnes Irwin School
2024 Lacrosse ,Ava Tighe,"Cold Spring Harbor, N.Y.",Cold Spring Harbor
2024 Lacrosse ,Elyse Finnelle,"Deale, Md.",Southern
2024 Lacrosse ,Alyssa Deacy,"Port Jefferson Station, N.Y. ",Comsewogue High School 
2024 Lacrosse ,Georgia Hoey,"Fairfield, Conn. ",Fairfield Ludlowe 
2024 Lacrosse ,Sarah Falk,"Fairport, N.Y.",Fairport
2024 Lacrosse ,Lea Flobeck,"Mount Sinai, N.Y",Mount Sinai
2024 Lacrosse ,Emily Lortz,"Malvern, Pa.",Conestoga
2024 Lacrosse ,Jackie Norsworthy,"Orlando, Fla.",Lake Highland
2024 Lacrosse ,Kelly Schluederberg,"Ellicott City, Md.",Howard
2024 Lacrosse ,Bella Palagonia ,"Locust Valley, N.Y.",St. Anthony’s
2024 Lacrosse ,Paisley Eagan,"Wilton, Conn.",Wilton
2023 Soccer ,Paloma  Peña,"Miramar, Fla.",McCarthy H.S.
2023 Soccer ,Jayden Emmanuel,"Indian Trail, N.C.",Sun Valley H.S.
2023 Soccer ,Elyse  Campbell,"Gainesville, Fla.",Olympia H.S.
2023 Soccer ,Tori Grambo,"St. Johns, Fla.",Bartram Trail H.S.
2023 Soccer ,Megan  Hinnenkamp,"Kearney, Mo.",Liberty North H.S.
2023 Soccer ,Alexa Goldberg,"St. Petersburg, Fla.",St. Petersburg H.S.
2023 Soccer ,Erica Roberts,"St. Petersburg, Fla.",Northside Christian H.S.
2023 Soccer ,Lauren McCloskey,"Canton, Ga.",Blessed Trinity Catholic H.S.
2023 Soccer ,Tessa Barton,"Littleton, Colo.",Columbine H.S.
2023 Soccer ,Josie Curtis,"Bradenton, Fla.",Lakewood Ranch H.S.
2023 Soccer ,Emily Yaple,"Erie, Pa.",Fort LeBoeuf H.S.
2023 Soccer ,Sophie White,"Herriman, Utah",Mountain Ridge H.S.
2023 Soccer ,Maddy Rhodes,"Vero Beach, Fla.",Vero Beach H.S.
2023 Soccer ,Tatum O'Coyne,"Rancho Sante Fe, Calif.",Torrey Pines H.S.
2023 Soccer ,Njeri Butts,"Lawrenceville, Ga.",Grayson H.S.
2023 Soccer ,Lauren Donovan,"Loveland, Ohio",Loveland H.S.
2023 Soccer ,Ashley Tutas,"Palm Harbor, Fla.",Palm Harbor University H.S.
2023 Soccer ,Liwa  Nilsson,"Västerås, Sweden",Widenska Gymnasiet
2023 Soccer ,Madeline Pirrello,"Harrison, N.Y.",Harrison H.S.
2023 Soccer ,Anna DeLeon,"Rancho Palos Verdes, Calif.",Palos Verdes H.S.
2023 Soccer ,Madison Young,"Ft. Lauderdale, Fla.",Cardinal Gibbons H.S.
2023 Soccer ,Oakley Rasmussen,"Millville, Utah",Ridgeline H.S.
2023 Soccer ,Daviana  Vaka,"Sandy, Utah",Juan Diego Catholic H.S.
2023 Soccer ,Lucy Froitzheim,"Naples, Fla.",Naples H.S.
2023 Soccer ,Delaney Tauzel,"St. Johns, Fla.",Creekside H.S.
2023 Soccer ,Molly  Grant,"Plainfield, Ill.",Plainfield North H.S.
2023 Soccer ,Thai Quallich,"Largo, Fla.",U.S. Performance Academy
2023 Soccer ,Charlotte  McClure,"Ridgeland, S.C.",Ridgeland-Hardeeville H.S.
2023 Soccer ,Lena  Bailey,"Tampa, Fla.",Tampa Catholic H.S.
2023 Soccer ,Amelia  Malkin,"Sarasota, Fla.",IMG Academy
2023 Soccer ,Paris  Bice,"Flagler Beach, Fla.",Alachua eSchool
2023 Soccer ,Sami  Fisher,"Scottsdale, Ariz.",Chaparral H.S.
2023 Soccer ,Madison Jones,"Longwood, Fla.",Lake Brantley H.S.
2023 Soccer ,Avery  Upton,"Jacksonville, Fla.",Creekside H.S.
2023 Soccer ,Mary Martin  Hampton,"Lexington, Ky.",Lexington Catholic H.S.
2023 Soccer ,Julianne  Leskauskas,"Manasquan, N.J.",Saint Rose H.S.
2024 Softball ,Ava Brown,"Montgomery, Texas",Lake Creek
2024 Softball ,Brooke Barnard,"Palm Beach Gardens, Fla.",Palm Beach Gardens
2024 Softball ,Avery Goelz,"Myakka City, Fla.",Lakewood Ranch
2024 Softball ,Keagan Rothrock,"Whiteland, Ind.",Roncalli
2024 Softball ,Jocelyn Erickson,"Phoenix, Ariz.",Sandra Day O'Connor
2024 Softball ,Alyssa Hovermale,"Norco, Calif.",Norco
2024 Softball ,Mia Williams,"Windermere, Fla.",Windermere Prep
2024 Softball ,Olivia Miller,"Orlando, Fla.",Bishop Moore Catholic
2024 Softball ,Reagan Walsh,"Redondo Beach, Calif.",South Torrance
2024 Softball ,Skylar Wallace,"Woodstock, Ga.",Etowah
2024 Softball ,Emily Wilkie,"Cumming, Ga.",Creekview
2024 Softball ,Cassidy McLellan,"Lakewood Ranch, Fla.",Lakewood Ranch
2024 Softball ,Mackenzie Wooten,"Windsor, Va.",Isle of Wight Academy
2024 Softball ,Kendra Falby,"Odessa, Fla.",Sunlake
2024 Softball ,Katie Kistler,"Orange Park, Fla.",Oakleaf
2024 Softball ,Korbe Otis,"Littleton, Colo.",Columbine
2024 Softball ,Ariel Kowalewski,"Richmond, Texas",William B. Travis
2024 Softball ,Baylee Goddard,"Orange Park, Fla.",Oakleaf
2023-24 Men's Swimming & Diving ,Cameron Abaqueta,"Davidson, N.C.",not listed
2023-24 Men's Swimming & Diving ,Amro Al-Wir,"Amman, Jordan",not listed
2023-24 Men's Swimming & Diving ,Peter Bretzmann,"Chapel Hill, N.C.",Chapel Hill
2023-24 Men's Swimming & Diving ,Eric Brown,"Quebec, Canada",not listed
2023-24 Men's Swimming & Diving ,Scotty Buff,"Bowling Green, Ohio",Saint Francis De Sales
2023-24 Men's Swimming & Diving ,Adam Chaney,"Mason, Ohio",Mason
2023-24 Men's Swimming & Diving ,Ben Cote,"Pinellas Park, Fla.",St. Petersburg
2023-24 Men's Swimming & Diving ,Jace  Crawford,"Jacksonville, Fla.",Episcopal
2023-24 Men's Swimming & Diving ,Elisha Dees,"Jacksonville, Fla.",not listed
2023-24 Men's Swimming & Diving ,Bobby Dinunzio III,"Virginia Beach, Virginia ",Ocean Lakes
2023-24 Men's Swimming & Diving ,Peyton Donald,"Spring, Texas",Grand Oaks
2023-24 Men's Swimming & Diving ,Skip Donald,"The Woodlands, Texas",The Woodlands
2023-24 Men's Swimming & Diving ,Mateusz  Dubas,"Siemianowice Slaskie, Poland",not listed
2023-24 Men's Swimming & Diving ,Edouard Fullum-Huot,"Montreal, Canada",not listed
2023-24 Men's Swimming & Diving ,Conor Gesing,not listed,Abington Senior
2023-24 Men's Swimming & Diving ,Joaquin Gonzalez Pinero,"Buenos Aires, Argentina",Jumeirah English Speaking School
2023-24 Men's Swimming & Diving ,Daniel Gordon,"East Berlin, Pa.",not listed
2023-24 Men's Swimming & Diving ,Wesley  Hyde,Ocala. Fla,West Port
2023-24 Men's Swimming & Diving ,Billy Jones,"Jacksonville, Fla.",Stanton College Prep
2023-24 Men's Swimming & Diving ,Dawson Joyce,"Sanford, Fla.",not listed
2023-24 Men's Swimming & Diving ,Evan Keogh,"Sarasota, Fla.",Sarasota
2023-24 Men's Swimming & Diving ,Amadeusz Knop,"Nokomis, Fla.",Venice Sr.
2023-24 Men's Swimming & Diving ,Mason Laur,"Naples, Fla.",Barron Collier
2023-24 Men's Swimming & Diving ,Joshua Liendo,"Scarborough, Canada",not listed
2023-24 Men's Swimming & Diving ,Oskar Lindholm,"Aarhus, Denmark",Marselisborg Gymnasium
2023-24 Men's Swimming & Diving ,Giovanni Linscheer,"Richardson, Texas",not listed
2023-24 Men's Swimming & Diving ,Caleb Maldari,"Denver, N.C.",Laurel Springs
2023-24 Men's Swimming & Diving ,Jonny  Marshall,"Akron, Ohio",Firestone Sr.
2023-24 Men's Swimming & Diving ,Macguire  McDuff,"Saint Johns, Fla.",Bartram Trail
2023-24 Men's Swimming & Diving ,Jake Mitchell,"Carmel, Indiana",not listed
2023-24 Men's Swimming & Diving ,Aryan Nehra,"Ahmedabad, India",British International School
2023-24 Men's Swimming & Diving ,Josh Parent,"Wilbraham, Mass.",Minnechaug Regional
2023-24 Men's Swimming & Diving ,Brendan  Peacock,"Cape Coral, Fla.",Evangelical Christian School
2023-24 Men's Swimming & Diving ,Raphael Rached Windmuller,"Curitiba-PR, Brazil",NSU University
2023-24 Men's Swimming & Diving ,Aleksas Savickas,"Panevezys, Lithuania",not listed
2023-24 Men's Swimming & Diving ,Julian  Smith,"St. Augustine, Fla.",Episcopal School of Jacksonville
2023-24 Men's Swimming & Diving ,Sean Sullivan,"Carmel, Indiana",Carmel
2023-24 Men's Swimming & Diving ,Anton Svirskyi,"Zaporizhzhya, Ukraine",Brick Township High School/Sports School of Olympic Reserve No 18
2023-24 Men's Swimming & Diving ,Andrew Taylor,"Clearwater, Fla.",Countryside
2023-24 Men's Swimming & Diving ,Jack VanDeusen,"St. Augustine, Fla.",Bartram
